    Si. No. (Col. 1),Crime Head (Col. 2),Cases Reported against Juveniles - (Col. 3),Below 12 Years - Boys - (Col. 4),Below 12 Years - Girls - (Col. 5),Below 12 Years - Total - (Col. 6),12 Years & Above and below 16 Years - Boys - (Col. 7),12 Years & Above and below 16 Years - Girls - (Col. 8),12 Years & Above and below 16 Years - Total - (Col. 9),16 Years & Above and below 18 Years - Boys - (Col. 10),16 Years & Above and below 18 Years - Girls - (Col. 11),16 Years & Above and below 18 Years - Total - (Col. 12),Total - Boys - (Col. 13),Total - Girls - (Col. 14),Total - Total - (Col. 15)
1,Murder,842,10,0,10,250,10,260,812,22,834,1072,32,1104
2,Culpable Homicide not amounting to Murder,50,2,0,2,15,0,15,40,0,40,57,0,57
3,Causing Death by Negligence,261,1,0,1,65,1,66,196,1,197,262,2,264
4,Dowry Deaths,21,0,0,0,3,0,3,17,1,18,20,1,21   
5,Abetment of Suicide,62,0,1,1,11,2,13,48,8,56,59,11,70
6,Attempt to Commit Murder,981,9,0,9,264,2,266,1022,5,1027,1295,7,1302
7,Attempt to commit Culpable Homicide,92,0,0,0,21,0,21,81,0,81,102,0,102
8,Attempt to Commit Suicide,3,0,0,0,1,1,2,0,1,1,1,2,3
9,"Miscarriage, Infanticide, Foeticide and Abandonment",10,0,0,0,0,0,0,5,6,11,5,6,11
10,Hurt,5867,63,0,63,1480,12,1492,5165,89,5254,6708,101,6809
11,Wrongful Restraint/Confinement,62,0,0,0,19,2,21,65,0,65,84,2,86
12,Assault on Women with Intent to Outrage her Modesty,1154,5,1,6,297,1,298,981,20,1001,1283,22,1305
13,Kidnapping and Abduction,725,2,0,2,143,0,143,649,0,649,794,0,794
14,Human Trafficking,4,0,0,0,0,0,0,3,1,4,3,1,4
15,Exploitation of Trafficked Person,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Selling of Minors for Prostitution,1,0,0,0,1,0,1,0,0,0,1,0,1
17,Buying of Minors for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Rape,937,10,0,10,235,0,235,775,2,777,1020,2,1022
19,Attempt to Commit Rape,33,0,0,0,12,0,12,24,0,24,36,0,36
20,Unnatural Offences,59,3,0,3,40,0,40,35,0,35,78,0,78
Offences Affecting the Human Body (Total),Offences Affecting the Human Body (Total),11164,105,2,107,2857,31,2888,9918,156,10074,12880,189,13069
21,Offences against State,0,0,0,0,0,0,0,0,0,0,0,0,0
Offences against the State (Total),Offences against the State (Total),0,0,0,0,0,0,0,0,0,0,0,0,0
22,Unlawful Assembly,122,0,0,0,22,3,25,168,5,173,190,8,198
23,Riots,875,5,0,5,245,7,252,973,18,991,1223,25,1248
24,Offences promoting enmity between different groups,6,0,0,0,2,0,2,6,0,6,8,0,8
25,Affray,25,1,0,1,3,0,3,34,3,37,38,3,41
Offences against Public Tranquility (Total),Offences against Public Tranquility (Total),1028,6,0,6,272,10,282,1181,26,1207,1459,36,1495
26,Theft,6081,60,2,62,2046,8,2054,5178,31,5209,7284,41,7325
27,Burglary,1954,28,0,28,791,3,794,1799,7,1806,2618,10,2628
28,Extortion & Blackmailing,61,0,0,0,9,0,9,70,1,71,79,1,80
29,Robbery,955,4,0,4,171,0,171,1050,1,1051,1225,1,1226
30,Attempt to Commit Dacoity/Robbery,17,0,0,0,1,0,1,23,0,23,24,0,24
31,Dacoity,112,1,0,1,20,0,20,159,0,159,180,0,180
32,Making Preparation and Assembly for committing Dacoity,74,0,0,0,20,0,20,74,0,74,94,0,94
33,Criminal Misappropriation,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Criminal Breach of Trust,4,0,0,0,2,0,2,5,0,5,7,0,7
35,Dishonestly Receiving/Dealing-in Stolen Property,29,0,0,0,9,0,9,27,0,27,36,0,36
Offences against Property (Total),Offences against Property (Total),9287,93,2,95,3069,11,3080,8385,40,8425,11547,53,11600
36,Counterfeiting,6,0,0,0,1,0,1,5,0,5,6,0,6
37,"Forgery, Cheating & Fraud",118,0,1,1,15,1,16,116,2,118,131,4,135
Offences Relating to Documents & Property Marks (Total),Offences Relating to Documents & Property Marks (Total),124,0,1,1,16,1,17,121,2,123,137,4,141
38,Offences relating to Elections,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Disobedience to order duly promulgated by Public Servant,332,3,0,3,66,6,72,298,9,307,367,15,382
40,Harbouring an Offender,1,0,0,0,0,0,0,1,0,1,1,0,1
41,Offences relating to Adulteration or Sale of Food/Drugs,1,0,0,0,0,0,0,1,0,1,1,0,1
42,Rash Driving on Public way,806,5,0,5,174,3,177,621,3,624,800,6,806
43,Obstruction on Public way,24,0,0,0,0,0,0,24,0,24,24,0,24
44,Sale of obscene Books/Objects,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Obscene Acts and Songs at Public Places,127,2,0,2,23,1,24,110,1,111,135,2,137
46,Offences relating to Religion,27,0,0,0,2,0,2,31,0,31,33,0,33
47,Cheating by Impersonation,4,0,0,0,0,0,0,7,0,7,7,0,7
48,Offences related to Mischief,9,0,0,0,6,0,6,6,2,8,12,2,14
49,Arson,45,0,0,0,20,0,20,41,0,41,61,0,61
50,Criminal Trespass,192,1,0,1,45,1,46,181,4,185,227,5,232
51,Cruelty by Husband or his Relatives,55,0,0,0,3,1,4,45,8,53,48,9,57
52,Circulate False/Fake News/Rumours,7,0,0,0,0,0,0,7,0,7,7,0,7
53,Criminal Intimidation,648,4,0,4,153,2,155,640,18,658,797,20,817
54,Insult to the Modesty of Women,26,0,0,0,6,0,6,22,0,22,28,0,28
Miscellaneous IPC Crimes(Total),Miscellaneous IPC Crimes(Total),2304,15,0,15,498,14,512,2035,45,2080,2548,59,2607
55,Other IPC crimes,2492,7,1,8,447,3,450,2224,24,2248,2678,28,2706
Total Cognizable IPC crimes,Total Cognizable IPC crimes,26399,226,6,232,7159,70,7229,23864,293,24157,31249,369,31618
